Iteration,bra-left,bra-right,Element,Operator
46,9,15,-0.000672875,3
46,9,15,-0.000568233,4
46,9,15,-0.000814446,5
46,9,15,-0.00075928,6
46,9,15,-0.000546845,7
46,9,15,0.008514176,8
46,9,15,-0.011021611,9
46,9,15,0.002594196,10
46,11,15,-0.000120139,0
46,11,15,0.002959865,1
46,11,15,0.001307182,2
46,11,15,-0.001348531,3
46,11,15,-0.001419501,4
46,11,15,-0.001316544,5
46,11,15,-0.000622673,6
46,11,15,-4.984e-06,7
46,11,15,0.012545611,8
46,11,15,-0.023938923,9
46,11,15,-0.003701041,10
46,13,15,3.4232e-05,0
46,13,15,0.001328621,1
46,13,15,0.000193861,2
46,13,15,0.000472546,3
46,13,15,0.000185036,4
46,13,15,0.000275346,5
46,13,15,-0.001786076,6
46,13,15,-0.000556799,7
46,13,15,0.020002154,8
46,13,15,-0.036617873,9
46,13,15,-0.001882149,10
46,15,15,1.0,0
46,15,15,1.151376389,1
46,15,15,0.575262827,2
46,15,15,0.306135406,3
46,15,15,0.305825611,4
46,15,15,0.306011246,5
46,15,15,0.883690563,6
46,15,15,0.442386329,7
46,15,15,1.015619516,8
46,15,15,-0.372964971,9
46,15,15,0.113309086,10
